source,target,grade_source,grade_target,source_node,target_node,granger_causes,lag,p_value,adjusted_p_value,test_statistic,n_observations,r2_restricted,r2_augmented
105,103,low2,low2,M105_low2,M103_low2,True,4,0.0,0.0,24.178794249866094,1704,0.020872831545592052,0.07372523722797175
105,103,med1,low2,M105_med1,M103_low2,True,4,0.00010203489941296162,0.00034983394084443987,5.904560311121842,1704,0.020872831545592052,0.03432856075794033
105,103,med2,low2,M105_med2,M103_low2,True,4,6.911153306865536e-06,2.7644613227462145e-05,7.37497270685071,1704,0.020872831545592052,0.03762211910958879
106,103,low1,low2,M106_low1,M103_low2,True,4,0.0,0.0,35.013245185743685,1704,0.020872831545592052,0.09560074398599894
106,103,low2,low2,M106_low2,M103_low2,True,4,0.0,0.0,37.136103405253024,1704,0.020872831545592052,0.0997664399793522
106,103,med1,low2,M106_med1,M103_low2,True,4,2.3606865573455593e-08,1.2529797881295661e-07,10.438471108697074,1704,0.020872831545592052,0.044412357211839115
106,103,med2,low2,M106_med2,M103_low2,True,4,2.009303845529331e-08,1.0873879634629321e-07,10.524980836879067,1704,0.020872831545592052,0.04460271500558621
101,103,low1,med1,M101_low1,M103_med1,True,4,0.0037498751331330737,0.00919969365995314,3.893364265492325,1704,0.03205647442136572,0.04086885653321093
101,103,low2,med1,M101_low2,M103_med1,True,4,1.6669515712219862e-07,8.215689886736932e-07,9.387860305187559,1704,0.03205647442136572,0.05303575015367035
101,103,med1,med1,M101_med1,M103_med1,True,4,0.0006546678434153907,0.0018821700498192484,4.875879144872807,1704,0.03205647442136572,0.04306741864899677
101,103,med2,med1,M101_med2,M103_med1,False,4,0.37671777352333624,0.602748437637338,1.0563420669806132,1704,0.03205647442136572,0.03446340521141744
102,103,low1,med1,M102_low1,M103_med1,True,4,0.00032249385167193445,0.0009781132204555374,5.269426613243219,1704,0.03205647442136572,0.04394523063472622
102,103,low2,med1,M102_low2,M103_med1,True,4,5.795384764306633e-07,2.665876991581051e-06,8.716395661816682,1704,0.03205647442136572,0.0515654555395999
102,103,med1,med1,M102_med1,M103_med1,True,4,0.0,0.0,27.129852027237263,1704,0.03205647442136572,0.09029851939543199
102,103,med2,med1,M102_med2,M103_med1,True,4,1.3988810110276972e-14,1.2065348720113889e-13,18.116354980357276,1704,0.03205647442136572,0.07174179626738086
103,103,low1,med1,M103_low1,M103_med1,False,4,0.5006775232904297,0.733087514207738,0.8384271862639807,1704,0.03205647442136572,0.0339678552189806
103,103,low2,med1,M103_low2,M103_med1,False,4,0.7934347631945429,0.9999999999922596,0.421218907239324,1704,0.03205647442136572,0.03301768087748502
103,103,med2,med1,M103_med2,M103_med1,False,4,0.979939265774746,0.9999999999922596,0.1074749970237784,1704,0.03205647442136572,0.032301910054019056
104,103,low1,med1,M104_low1,M103_med1,True,4,0.00016094413240552718,0.0005105813855623621,5.653618020173703,1704,0.03205647442136572,0.04480062172024746
104,103,low2,med1,M104_low2,M103_med1,True,4,0.0016424143428348525,0.004401032607984653,4.360647511675913,1704,0.03205647442136572,0.04191574923919694
104,103,med1,med1,M104_med1,M103_med1,True,4,9.992007221626409e-16,9.676470151469786e-15,19.52969208540641,1704,0.03205647442136572,0.07470142150134906
104,103,med2,med1,M104_med2,M103_med1,True,4,1.2122525205882084e-12,9.42483649809424e-12,15.726329778027262,1704,0.03205647442136572,0.06669360515704037
105,103,low1,med1,M105_low1,M103_med1,True,4,0.0,0.0,25.234711179061062,1704,0.03205647442136572,0.08645871729835675
105,103,low2,med1,M105_low2,M103_med1,True,4,1.1102230246251565e-16,1.25070022365936e-15,20.762695857293462,1704,0.03205647442136572,0.07726804479027494
105,103,med1,med1,M105_med1,M103_med1,True,4,0.0015523395680383523,0.0041799582514983925,4.392392275430516,1704,0.03205647442136572,0.0419867867228616
105,103,med2,med1,M105_med2,M103_med1,True,4,0.00021089437161014857,0.0006614414382318296,5.504430585110549,1704,0.03205647442136572,0.04446864204789969
106,103,low1,med1,M106_low1,M103_med1,True,4,0.0,0.0,29.32874988024239,1704,0.03205647442136572,0.09471351487492796
106,103,low2,med1,M106_low2,M103_med1,True,4,0.0,0.0,30.948105842579523,1704,0.03205647442136572,0.09793759047250272
106,103,med1,med1,M106_med1,M103_med1,True,4,2.187101062478547e-07,1.0590173565685596e-06,9.241644625800845,1704,0.03205647442136572,0.052715972571666714
106,103,med2,med1,M106_med2,M103_med1,True,4,3.873507528062703e-07,1.812013691093739e-06,8.933679923866668,1704,0.03205647442136572,0.052041738583443964
